type,epoch,time,loss,dsc
loaders_init,,26.359692096710205,,
train,1,143.37794542312622,0.9525284391862375,
eval,1,11.733582496643066,0.9824150403340658, 0.05666356812414747
train,2,106.34075808525085,0.9367391025578534,
eval,2,0.6712286472320557,0.980305035909017, 0.09941418606719057
train,3,107.87322425842285,0.9315052882388786,
eval,3,0.8658647537231445,0.9792230327924093, 0.07056463951112144
train,4,110.08573031425476,0.9267452712412234,
eval,4,0.682960033416748,0.978902538617452, 0.09863822805578343
train,5,110.02551531791687,0.9221661642745689,
eval,5,0.698932409286499,0.9782262444496155, 0.10724284844796103
train,6,111.62110924720764,0.917804464145943,
eval,6,0.6846673488616943,0.9770824710528055, 0.12294371891397893
train,7,109.84221458435059,0.9127730859650506,
eval,7,0.6826839447021484,0.9761597911516825, 0.13351455018977798
train,8,108.74690532684326,0.9083040246257076,
eval,8,0.6800379753112793,0.9758974115053812, 0.1207948850124619
train,9,113.5264413356781,0.9033726707652763,
eval,9,0.7132687568664551,0.9754602710405985, 0.10855077083582274
train,10,109.75731134414673,0.8973894781536527,
eval,10,0.7029216289520264,0.973671038945516, 0.14703165256325562
train,11,109.9262809753418,0.8908038326987514,
eval,11,0.6822586059570312,0.9753307501475016, 0.1179490077975525
train,12,110.29980611801147,0.8828359257291865,
eval,12,0.693101167678833,0.9751702745755514, 0.13615298791091454
train,13,109.53869318962097,0.8749926862893281,
eval,13,0.6960246562957764,0.9745688239733378, 0.14061871823735977
train,14,109.88705396652222,0.8661417464415232,
eval,14,0.6834614276885986,0.9699114163716634, 0.2055818267918585
train,15,112.72809338569641,0.8566717980084596,
eval,15,0.6830739974975586,0.975520650545756, 0.11560883127208876
train,16,108.47407412528992,0.8451045254866282,
eval,16,0.6802875995635986,0.9719629089037577, 0.14999074953248517
train,17,110.34267258644104,0.8329248053056223,
eval,17,0.6834385395050049,0.9721043507258097, 0.14564058335208876
train,18,112.5783052444458,0.8241922458012899,
eval,18,0.6973326206207275,0.9629952510197958, 0.11094962168298997
train,19,108.90261030197144,0.823929101228714,
eval,19,0.6987917423248291,0.970816413561503, 0.12662449444837232
train,20,111.5320315361023,0.8012502116185648,
eval,20,0.7210323810577393,0.972469707330068, 0.1331368793281273
train,21,115.47670865058899,0.7788467285809694,
eval,21,0.7625844478607178,0.9711988170941671, 0.1337147965776755
train,22,129.37432193756104,0.7585175975605294,
eval,22,0.7304480075836182,0.9710723757743835, 0.13120076327974384
train,23,129.46693062782288,0.7395289727935085,
eval,23,0.7346549034118652,0.973885178565979, 0.12207603469739395
train,24,124.83728265762329,0.7155431520055842,
eval,24,0.7280595302581787,0.9662213921546936, 0.14887571427031102
train,25,119.81985926628113,0.6900876296891106,
eval,25,0.7442471981048584,0.9671770135561625, 0.13540244127534093
train,26,123.41323637962341,0.6626604055916822,
eval,26,0.7329373359680176,0.9678161144256592, 0.134049278787281
train,27,126.62509679794312,0.6329251616089432,
eval,27,0.7440493106842041,0.9712374409039816, 0.126672296968259
train,28,125.61456799507141,0.6008283738736753,
eval,28,0.7461395263671875,0.9764078656832377, 0.09662825437473324
train,29,123.70216703414917,0.5693652232487997,
eval,29,4.936530828475952,0.9736225008964539, 0.10899961375048281
train,30,116.46701073646545,0.5318950734756611,
eval,30,0.8080365657806396,0.9697111050287882, 0.12634799285066572
train,31,121.04474306106567,0.4799527382409131,
eval,31,0.7886016368865967,0.9758355617523193, 0.09966442953020134
train,32,128.90992426872253,0.44183175872873376,
eval,32,0.7536880970001221,0.975205679734548, 0.09577056497904879
train,33,118.41680002212524,0.41160180502467686,
eval,33,0.7389998435974121,0.9568710525830587, 0.1396032249328705
train,34,120.46732544898987,0.379493851352621,
eval,34,0.7333641052246094,0.9772657155990601, 0.07898133128747672
train,35,119.64687657356262,0.34999804033173454,
eval,35,0.7184915542602539,0.9633594950040182, 0.11624273833710039
train,36,125.29278421401978,0.3269264124057911,
eval,36,0.755159854888916,0.9755123456319174, 0.08430493273542601
train,37,124.99426889419556,0.30495091168968763,
eval,37,0.7270619869232178,0.9745242198308309, 0.08817977528089888
train,38,125.84842801094055,0.2887546155187819,
eval,38,0.7332932949066162,0.9766780535380045, 0.08044229440221147
train,39,115.1463930606842,0.27892995763708045,
eval,39,0.7532956600189209,0.9674166838328043, 0.10523877666677131
train,40,116.67675852775574,0.25982886111294784,
eval,40,0.8037881851196289,0.9517376820246378, 0.1337367070214423
train,41,119.48234438896179,0.24698847973788227,
eval,41,1.863250970840454,0.9615802566210429, 0.11542594013814275
train,42,115.18735647201538,0.23044954737027487,
eval,42,0.721402645111084,0.9581484993298849, 0.12080270953914138
train,43,113.10694766044617,0.21980046342920373,
eval,43,0.7337644100189209,0.9580642382303873, 0.121765601217656
train,44,118.68087100982666,0.2090457777182261,
eval,44,0.7243413925170898,0.9724688132603964, 0.0869126747650699
train,45,118.7308132648468,0.19960026939709982,
eval,45,0.7269673347473145,0.9617756605148315, 0.112202852614897
train,46,116.24059534072876,0.19162945283783805,
eval,46,0.8180098533630371,0.9517038067181905, 0.1311275570606208
train,47,116.99566626548767,0.1824732411790777,
eval,47,0.7237162590026855,0.9621139367421468, 0.1100584559564604
train,48,121.92859387397766,0.17626823981602988,
eval,48,0.7158997058868408,0.9364920457204183, 0.14660154611996762
train,49,121.9395043849945,0.17184944174907826,
eval,49,0.7185938358306885,0.9588340123494467, 0.1161265130808278
train,50,117.98808431625366,0.18278554192295782,
eval,50,0.7131772041320801,0.9625215530395508, 0.10982800982800982
total_train_time,50,5867.059010267258,,
total_eval_time,50,52.80116677284241,,
