time-diff,utilization.aip [%],power.draw [W],memory.used [%]
0,16,106,0.015625
4,16,106,0.015625
7,16,106,0.015625
11,16,107,0.015625
14,16,106,0.015625
17,16,107,0.015625
21,16,106,0.015625
25,16,106,0.015625
29,16,107,0.015625
32,16,106,0.015625
35,16,106,0.015625
39,16,107,0.015625
43,16,106,0.015625
47,16,106,0.015625
49,16,107,0.015625
52,16,106,0.015625
56,16,107,0.015625
60,16,107,0.015625
63,16,107,0.015625
66,16,106,0.984344482421875
70,16,106,0.015625
73,16,107,0.015625
77,16,106,0.015625
79,16,106,0.015625
83,16,106,0.015625
86,16,107,0.015625
90,16,106,0.015625
94,63,210,0.015625
98,75,301,0.015625
101,69,292,0.015625
104,87,314,0.015625
109,81,275,0.015625
112,78,301,0.015625
115,77,310,0.015625
119,87,300,0.984344482421875
122,88,314,0.015625
125,84,285,0.015625
128,51,242,0.984344482421875
132,83,309,0.015625
136,79,284,0.015625
139,78,278,0.015625
143,65,282,0.015625
147,76,226,0.015625
151,77,304,0.015625
155,77,308,0.015625
159,69,221,0.984344482421875
162,57,208,0.015625
167,74,302,0.015625
171,85,311,0.015625
174,79,289,0.015625
177,67,209,0.015625
182,52,249,0.015625
185,75,285,0.015625
188,80,308,0.015625
192,61,290,0.015625
196,87,306,0.015625
198,79,307,0.015625
203,51,225,0.015625
206,78,286,0.015625
210,84,234,0.015625
213,65,202,0.015625
217,81,217,0.015625
220,58,244,0.015625
223,80,282,0.015625
228,81,300,0.015625
231,86,291,0.015625
234,84,298,0.015625
238,78,288,0.015625
242,79,282,0.015625
246,63,307,0.015625
250,79,224,0.015625
254,87,294,0.015625
259,87,267,0.015625
263,86,305,0.015625
266,78,239,0.015625
270,77,262,0.015625
274,76,306,0.015625
277,50,278,0.015625
280,77,280,0.015625
283,76,279,0.015625
287,61,283,0.015625
291,49,238,0.015625
294,43,201,0.984344482421875
297,77,285,0.015625
300,78,310,0.015625
305,75,279,0.015625
309,61,274,0.015625
313,79,208,0.015625
317,78,211,0.015625
321,76,297,0.015625
325,86,312,0.015625
329,87,309,0.015625
333,75,216,0.015625
338,76,279,0.015625
341,79,264,0.015625
346,79,281,0.015625
350,65,282,0.015625
353,54,253,0.015625
357,87,301,0.015625
361,72,295,0.015625
364,85,218,0.015625
369,77,243,0.015625
372,82,307,0.984344482421875
375,60,220,0.015625
379,62,289,0.015625
382,73,285,0.015625
386,72,282,0.015625
390,86,299,0.015625
394,87,314,0.015625
397,75,282,0.984344482421875
402,85,242,0.015625
405,85,311,0.015625
408,84,310,0.984344482421875
411,69,278,0.015625
415,69,201,0.015625
419,86,298,0.015625
423,54,260,0.015625
426,75,290,0.015625
430,82,263,0.015625
434,87,298,0.015625
438,75,285,0.015625
441,59,281,0.984344482421875
444,82,308,0.015625
448,74,280,0.015625
453,74,280,0.984344482421875
457,86,280,0.015625
461,80,313,0.015625
464,77,270,0.015625
468,64,218,0.015625
472,74,286,0.984344482421875
475,74,287,0.984344482421875
479,59,302,0.015625
482,77,277,0.015625
486,76,289,0.984344482421875
490,69,283,0.015625
493,54,274,0.984344482421875
498,85,277,0.015625
501,84,310,0.015625
505,82,286,0.015625
509,86,269,0.015625
513,74,281,0.015625
518,76,299,0.015625
520,76,293,0.984344482421875
525,75,304,0.015625
528,56,263,0.984344482421875
533,75,306,0.015625
538,84,303,0.015625
543,56,201,0.984344482421875
546,86,279,0.015625
551,77,229,0.015625
556,76,236,0.015625
559,80,307,0.984344482421875
563,74,206,0.015625
566,78,263,0.015625
571,75,212,0.015625
575,59,208,0.984344482421875
579,86,306,0.015625
582,86,301,0.984344482421875
585,86,299,0.015625
589,85,307,0.015625
594,86,305,0.015625
599,84,267,0.015625
602,75,284,0.015625
606,70,223,0.984344482421875
610,57,231,0.015625
615,59,260,0.015625
618,60,207,0.015625
623,53,281,0.015625
626,76,279,0.015625
629,66,313,0.015625
633,86,304,0.015625
636,75,276,0.984344482421875
640,74,272,0.015625
643,75,274,0.015625
647,75,292,0.015625
651,84,296,0.015625
654,80,298,0.015625
657,74,278,0.015625
662,66,277,0.015625
666,87,297,0.015625
669,81,307,0.015625
673,73,277,0.015625
677,81,312,0.015625
679,49,215,0.984344482421875
683,83,279,0.015625
687,73,274,0.015625
691,54,287,0.015625
695,74,273,0.015625
698,86,313,0.015625
702,73,273,0.015625
707,85,272,0.015625
710,86,272,0.015625
715,66,209,0.015625
720,73,274,0.015625
724,62,284,0.015625
728,86,275,0.015625
731,59,274,0.015625
735,72,277,0.015625
738,82,272,0.015625
742,84,311,0.984344482421875
746,66,278,0.015625
751,76,288,0.015625
754,85,309,0.015625
758,69,280,0.015625
761,75,273,0.015625
765,56,274,0.015625
769,82,286,0.015625
773,79,301,0.015625
776,81,270,0.015625
780,80,286,0.015625
784,54,275,0.015625
789,68,284,0.015625
792,73,293,0.015625
796,87,290,0.015625
799,86,299,0.015625
802,73,281,0.015625
806,75,274,0.015625
810,77,273,0.015625
814,84,298,0.015625
817,62,272,0.984344482421875
821,54,260,0.015625
826,86,304,0.984344482421875
829,57,254,0.015625
833,51,291,0.015625
837,73,297,0.015625
841,72,270,0.015625
846,72,244,0.015625
849,82,242,0.015625
853,80,242,0.015625
859,73,256,0.015625
863,57,304,0.015625
867,71,208,0.015625
870,74,302,0.015625
874,54,235,0.015625
879,53,308,0.015625
882,80,301,0.984344482421875
886,84,289,0.015625
890,76,272,0.015625
894,50,308,0.015625
