timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Tue Aug  2 20:16:52 UTC 202, 1, 15 %, 103 W, 512 MiB
Tue Aug  2 20:16:52 UTC 202, 5, 14 %, 101 W, 512 MiB
Tue Aug  2 20:16:52 UTC 202, 7, 10 %, 91 W, 512 MiB
Tue Aug  2 20:16:52 UTC 202, 6, 11 %, 94 W, 512 MiB
Tue Aug  2 20:16:52 UTC 202, 4, 15 %, 104 W, 512 MiB
Tue Aug  2 20:16:52 UTC 202, 0, 13 %, 99 W, 512 MiB
Tue Aug  2 20:16:52 UTC 202, 3, 14 %, 103 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Tue Aug  2 20:16:54 UTC 202, 3, 15 %, 103 W, 512 MiB
Tue Aug  2 20:16:54 UTC 202, 5, 14 %, 101 W, 512 MiB
Tue Aug  2 20:16:54 UTC 202, 7, 10 %, 91 W, 512 MiB
Tue Aug  2 20:16:54 UTC 202, 0, 13 %, 100 W, 512 MiB
Tue Aug  2 20:16:54 UTC 202, 1, 14 %, 103 W, 512 MiB
Tue Aug  2 20:16:54 UTC 202, 6, 11 %, 94 W, 512 MiB
Tue Aug  2 20:16:54 UTC 202, 4, 15 %, 104 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Tue Aug  2 20:16:57 UTC 202, 3, 14 %, 103 W, 512 MiB
Tue Aug  2 20:16:57 UTC 202, 6, 11 %, 94 W, 512 MiB
Tue Aug  2 20:16:57 UTC 202, 1, 15 %, 103 W, 512 MiB
Tue Aug  2 20:16:57 UTC 202, 7, 10 %, 91 W, 512 MiB
Tue Aug  2 20:16:57 UTC 202, 0, 13 %, 99 W, 512 MiB
Tue Aug  2 20:16:57 UTC 202, 4, 15 %, 104 W, 512 MiB
Tue Aug  2 20:16:57 UTC 202, 5, 14 %, 101 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Tue Aug  2 20:16:59 UTC 202, 3, 15 %, 103 W, 512 MiB
Tue Aug  2 20:16:59 UTC 202, 6, 11 %, 94 W, 512 MiB
Tue Aug  2 20:16:59 UTC 202, 5, 14 %, 101 W, 512 MiB
Tue Aug  2 20:16:59 UTC 202, 7, 10 %, 91 W, 512 MiB
Tue Aug  2 20:16:59 UTC 202, 0, 13 %, 100 W, 512 MiB
Tue Aug  2 20:16:59 UTC 202, 4, 15 %, 104 W, 512 MiB
Tue Aug  2 20:16:59 UTC 202, 1, 15 %, 103 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Tue Aug  2 20:17:01 UTC 202, 1, 15 %, 103 W, 512 MiB
Tue Aug  2 20:17:01 UTC 202, 3, 15 %, 103 W, 512 MiB
Tue Aug  2 20:17:02 UTC 202, 4, 15 %, 104 W, 512 MiB
Tue Aug  2 20:17:02 UTC 202, 5, 14 %, 101 W, 512 MiB
Tue Aug  2 20:17:02 UTC 202, 7, 10 %, 91 W, 512 MiB
Tue Aug  2 20:17:02 UTC 202, 0, 13 %, 99 W, 512 MiB
