name, pci.bus_id, timestamp, utilization.gpu [%], power.draw [W]
NVIDIA A100-SXM4-40GB, 00000000:0F:00.0, 2022/08/03 08:06:44.893, 0 %, 52.83 W
name, pci.bus_id, timestamp, utilization.gpu [%], power.draw [W]
NVIDIA A100-SXM4-40GB, 00000000:0F:00.0, 2022/08/03 08:06:45.919, 0 %, 52.83 W
name, pci.bus_id, timestamp, utilization.gpu [%], power.draw [W]
NVIDIA A100-SXM4-40GB, 00000000:0F:00.0, 2022/08/03 08:06:46.947, 0 %, 52.83 W
name, pci.bus_id, timestamp, utilization.gpu [%], power.draw [W]
NVIDIA A100-SXM4-40GB, 00000000:0F:00.0, 2022/08/03 08:06:47.965, 0 %, 52.78 W
name, pci.bus_id, timestamp, utilization.gpu [%], power.draw [W]
NVIDIA A100-SXM4-40GB, 00000000:0F:00.0, 2022/08/03 08:06:48.983, 0 %, 52.83 W
name, pci.bus_id, timestamp, utilization.gpu [%], power.draw [W]
NVIDIA A100-SXM4-40GB, 00000000:0F:00.0, 2022/08/03 08:06:49.999, 0 %, 52.83 W
name, pci.bus_id, timestamp, utilization.gpu [%], power.draw [W]
NVIDIA A100-SXM4-40GB, 00000000:0F:00.0, 2022/08/03 08:06:51.015, 0 %, 52.83 W
name, pci.bus_id, timestamp, utilization.gpu [%], power.draw [W]
NVIDIA A100-SXM4-40GB, 00000000:0F:00.0, 2022/08/03 08:06:52.032, 0 %, 52.83 W
name, pci.bus_id, timestamp, utilization.gpu [%], power.draw [W]
NVIDIA A100-SXM4-40GB, 00000000:0F:00.0, 2022/08/03 08:06:53.060, 0 %, 52.83 W
name, pci.bus_id, timestamp, utilization.gpu [%], power.draw [W]
NVIDIA A100-SXM4-40GB, 00000000:0F:00.0, 2022/08/03 08:06:54.084, 0 %, 52.83 W
name, pci.bus_id, timestamp, utilization.gpu [%], power.draw [W]
NVIDIA A100-SXM4-40GB, 00000000:0F:00.0, 2022/08/03 08:06:55.110, 0 %, 52.83 W
name, pci.bus_id, timestamp, utilization.gpu [%], power.draw [W]
NVIDIA A100-SXM4-40GB, 00000000:0F:00.0, 2022/08/03 08:06:56.134, 0 %, 52.83 W
name, pci.bus_id, timestamp, utilization.gpu [%], power.draw [W]
NVIDIA A100-SXM4-40GB, 00000000:0F:00.0, 2022/08/03 08:06:57.150, 0 %, 52.83 W
name, pci.bus_id, timestamp, utilization.gpu [%], power.draw [W]
NVIDIA A100-SXM4-40GB, 00000000:0F:00.0, 2022/08/03 08:06:58.168, 0 %, 52.83 W
name, pci.bus_id, timestamp, utilization.gpu [%], power.draw [W]
NVIDIA A100-SXM4-40GB, 00000000:0F:00.0, 2022/08/03 08:06:59.185, 0 %, 52.83 W
name, pci.bus_id, timestamp, utilization.gpu [%], power.draw [W]
NVIDIA A100-SXM4-40GB, 00000000:0F:00.0, 2022/08/03 08:07:00.210, 0 %, 52.83 W
name, pci.bus_id, timestamp, utilization.gpu [%], power.draw [W]
NVIDIA A100-SXM4-40GB, 00000000:0F:00.0, 2022/08/03 08:07:01.228, 0 %, 52.83 W
name, pci.bus_id, timestamp, utilization.gpu [%], power.draw [W]
NVIDIA A100-SXM4-40GB, 00000000:0F:00.0, 2022/08/03 08:07:02.255, 0 %, 52.83 W
name, pci.bus_id, timestamp, utilization.gpu [%], power.draw [W]
