Command: ['unet.py', '--hpu', '--use_lazy_mode', '--epochs', '50', '--image-size', '256', '--cache-path', './kaggle_256_cache', '--weights-file', './256.pt', '--run-name', 'size-256-3']
Initializing loaders time: 5.818542242050171
epoch 1 train time: 167.25683426856995
epoch 1 eval time: 8.220791101455688
epoch 2 train time: 97.85658979415894
epoch 2 eval time: 1.2688932418823242
epoch 3 train time: 94.37004590034485
epoch 3 eval time: 1.2770678997039795
epoch 4 train time: 94.37198328971863
epoch 4 eval time: 1.27671217918396
epoch 5 train time: 96.7722978591919
epoch 5 eval time: 1.273216962814331
epoch 6 train time: 95.805171251297
epoch 6 eval time: 1.2899224758148193
epoch 7 train time: 96.63538026809692
epoch 7 eval time: 1.3266713619232178
epoch 8 train time: 100.43292951583862
epoch 8 eval time: 1.4971368312835693
epoch 9 train time: 97.23120045661926
epoch 9 eval time: 1.309117078781128
epoch 10 train time: 98.60992360115051
epoch 10 eval time: 1.3581595420837402
epoch 11 train time: 101.96207475662231
epoch 11 eval time: 1.315077781677246
epoch 12 train time: 100.45023846626282
epoch 12 eval time: 1.3030121326446533
epoch 13 train time: 101.07958698272705
epoch 13 eval time: 1.3911323547363281
epoch 14 train time: 100.2184226512909
epoch 14 eval time: 1.3378429412841797
epoch 15 train time: 102.72536206245422
epoch 15 eval time: 1.3206257820129395
epoch 16 train time: 102.37976145744324
epoch 16 eval time: 1.3404483795166016
epoch 17 train time: 100.22034549713135
epoch 17 eval time: 1.3729069232940674
epoch 18 train time: 102.71615862846375
epoch 18 eval time: 1.3209829330444336
epoch 19 train time: 99.91170907020569
epoch 19 eval time: 1.4447309970855713
epoch 20 train time: 101.03814315795898
epoch 20 eval time: 1.3826618194580078
epoch 21 train time: 104.30530047416687
epoch 21 eval time: 1.3242833614349365
epoch 22 train time: 98.46395945549011
epoch 22 eval time: 1.284175157546997
epoch 23 train time: 96.48268556594849
epoch 23 eval time: 1.28068208694458
epoch 24 train time: 96.57673811912537
epoch 24 eval time: 1.284759283065796
epoch 25 train time: 98.0582857131958
epoch 25 eval time: 1.341489553451538
epoch 26 train time: 97.90300941467285
epoch 26 eval time: 1.3180956840515137
epoch 27 train time: 101.22950148582458
epoch 27 eval time: 1.350076675415039
epoch 28 train time: 99.16360926628113
epoch 28 eval time: 1.3467931747436523
epoch 29 train time: 98.06943988800049
epoch 29 eval time: 1.3375649452209473
epoch 30 train time: 100.53043341636658
epoch 30 eval time: 1.3544096946716309
epoch 31 train time: 97.8024353981018
epoch 31 eval time: 1.3448271751403809
epoch 32 train time: 98.78781819343567
epoch 32 eval time: 1.3595471382141113
epoch 33 train time: 107.87424492835999
epoch 33 eval time: 1.319420337677002
epoch 34 train time: 98.38092350959778
epoch 34 eval time: 1.3539798259735107
epoch 35 train time: 99.7103796005249
epoch 35 eval time: 1.3268611431121826
epoch 36 train time: 101.39831829071045
epoch 36 eval time: 1.3676517009735107
epoch 37 train time: 99.31314730644226
epoch 37 eval time: 1.3091168403625488
epoch 38 train time: 103.02046251296997
epoch 38 eval time: 1.3201491832733154
epoch 39 train time: 98.57062220573425
epoch 39 eval time: 1.3199219703674316
epoch 40 train time: 100.09041953086853
epoch 40 eval time: 1.3453478813171387
epoch 41 train time: 99.72967529296875
epoch 41 eval time: 1.323448896408081
epoch 42 train time: 101.03600358963013
epoch 42 eval time: 1.3035707473754883
epoch 43 train time: 98.73299241065979
epoch 43 eval time: 1.330254077911377
epoch 44 train time: 99.22249341011047
epoch 44 eval time: 1.3045623302459717
epoch 45 train time: 99.18465805053711
epoch 45 eval time: 1.3044500350952148
epoch 46 train time: 101.77985143661499
epoch 46 eval time: 1.302760124206543
epoch 47 train time: 101.03123784065247
epoch 47 eval time: 1.3209848403930664
epoch 48 train time: 100.03388857841492
epoch 48 eval time: 1.3050847053527832
epoch 49 train time: 100.70307064056396
epoch 49 eval time: 1.3353149890899658
epoch 50 train time: 105.27637887001038
epoch 50 eval time: 1.3430120944976807
total_train_time = 5054.506143331528 for 50 epochs
total_eval_time = 5054.506143331528 for 50 epochs

Best validation mean DSC: 0.6820186828592346

