timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Tue Oct 18 20:58:48 UTC 202, 7, 13 %, 98 W, 512 MiB
Tue Oct 18 20:58:48 UTC 202, 5, 16 %, 107 W, 512 MiB
Tue Oct 18 20:58:48 UTC 202, 6, 16 %, 107 W, 512 MiB
Tue Oct 18 20:58:48 UTC 202, 3, 13 %, 99 W, 512 MiB
Tue Oct 18 20:58:48 UTC 202, 4, 14 %, 102 W, 512 MiB
Tue Oct 18 20:58:48 UTC 202, 1, 14 %, 103 W, 512 MiB
Tue Oct 18 20:58:48 UTC 202, 0, 14 %, 101 W, 512 MiB
Tue Oct 18 20:58:48 UTC 202, 2, 14 %, 103 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Tue Oct 18 20:58:51 UTC 202, 5, 16 %, 107 W, 512 MiB
Tue Oct 18 20:58:51 UTC 202, 2, 14 %, 102 W, 512 MiB
Tue Oct 18 20:58:51 UTC 202, 7, 13 %, 98 W, 512 MiB
Tue Oct 18 20:58:51 UTC 202, 3, 13 %, 99 W, 512 MiB
Tue Oct 18 20:58:51 UTC 202, 6, 16 %, 107 W, 512 MiB
Tue Oct 18 20:58:51 UTC 202, 4, 14 %, 102 W, 512 MiB
Tue Oct 18 20:58:51 UTC 202, 1, 14 %, 103 W, 512 MiB
Tue Oct 18 20:58:51 UTC 202, 0, 14 %, 101 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Tue Oct 18 20:58:55 UTC 202, 6, 16 %, 107 W, 512 MiB
Tue Oct 18 20:58:55 UTC 202, 5, 16 %, 107 W, 512 MiB
Tue Oct 18 20:58:55 UTC 202, 7, 13 %, 98 W, 512 MiB
Tue Oct 18 20:58:55 UTC 202, 1, 14 %, 103 W, 512 MiB
Tue Oct 18 20:58:55 UTC 202, 3, 13 %, 99 W, 512 MiB
Tue Oct 18 20:58:55 UTC 202, 0, 14 %, 101 W, 512 MiB
Tue Oct 18 20:58:55 UTC 202, 2, 14 %, 103 W, 512 MiB
Tue Oct 18 20:58:55 UTC 202, 4, 14 %, 102 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Tue Oct 18 20:58:59 UTC 202, 7, 13 %, 98 W, 512 MiB
Tue Oct 18 20:58:59 UTC 202, 6, 16 %, 107 W, 512 MiB
Tue Oct 18 20:58:59 UTC 202, 5, 16 %, 106 W, 512 MiB
Tue Oct 18 20:58:59 UTC 202, 3, 13 %, 99 W, 512 MiB
Tue Oct 18 20:58:59 UTC 202, 2, 14 %, 103 W, 512 MiB
Tue Oct 18 20:58:59 UTC 202, 4, 14 %, 102 W, 512 MiB
Tue Oct 18 20:58:59 UTC 202, 0, 14 %, 101 W, 512 MiB
Tue Oct 18 20:58:59 UTC 202, 1, 14 %, 103 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Tue Oct 18 20:59:01 UTC 202, 2, 14 %, 102 W, 512 MiB
Tue Oct 18 20:59:01 UTC 202, 5, 16 %, 106 W, 512 MiB
Tue Oct 18 20:59:01 UTC 202, 7, 13 %, 98 W, 512 MiB
Tue Oct 18 20:59:01 UTC 202, 6, 16 %, 107 W, 512 MiB
Tue Oct 18 20:59:01 UTC 202, 3, 13 %, 99 W, 512 MiB
Tue Oct 18 20:59:01 UTC 202, 4, 14 %, 102 W, 512 MiB
Tue Oct 18 20:59:01 UTC 202, 1, 14 %, 103 W, 512 MiB
Tue Oct 18 20:59:01 UTC 202, 0, 14 %, 101 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Tue Oct 18 20:59:05 UTC 202, 5, 16 %, 107 W, 512 MiB
